customer_id,annual_spending,purchase_frequency,age,region
C0001,2018.86,22.6,33,North
C0002,1386.5,12.6,45,North
C0003,1150.21,12.1,53,East
C0004,389.32,8.8,58,West
C0005,2844.62,23.3,53,South
C0006,2355.21,22.4,39,West
C0007,1121.71,10.9,47,East
C0008,473.43,5.9,33,South
C0009,553.05,3.5,36,East
C0010,1225.41,15.3,42,South
C0011,1364.55,12.7,35,West
C0012,628.32,4.8,52,West
C0013,3056.18,22.1,36,West
C0014,1127.22,9.8,34,North
C0015,1542.83,10.7,49,North
C0016,1152.47,17.7,33,West
C0017,1217.6,11.0,32,West
C0018,1551.09,14.0,46,East
C0019,419.76,7.4,37,North
C0020,1898.21,24.5,44,West
C0021,1262.0,14.6,45,South
C0022,1580.69,10.4,50,South
C0023,3347.04,23.2,29,South
C0024,413.03,5.0,61,South
C0025,551.69,4.6,40,South
C0026,228.57,4.9,57,South
C0027,1722.46,14.4,45,East
C0028,1195.53,10.6,31,North
C0029,941.92,15.0,35,South
C0030,351.44,3.3,56,North
C0031,986.84,13.7,36,East
C0032,1452.99,11.4,43,West
C0033,712.44,6.6,51,West
C0034,2757.35,28.2,45,North
C0035,1407.49,12.9,32,East
C0036,978.16,15.8,30,North
C0037,623.84,6.9,52,South
C0038,499.04,4.3,48,South
C0039,1184.22,10.3,54,East
C0040,471.65,3.8,43,South
C0041,1531.89,8.2,47,East
C0042,2089.84,24.6,37,East
C0043,407.56,3.3,52,West
C0044,520.19,6.2,46,North
C0045,323.69,3.0,47,West
C0046,516.31,7.3,40,West
C0047,1401.38,13.1,36,East
C0048,1518.68,9.2,33,West
C0049,1527.3,17.0,56,North
C0050,2522.66,25.0,49,North
C0051,1536.89,13.7,45,North
C0052,1353.45,14.1,31,West
C0053,2351.85,22.8,32,South
C0054,210.81,2.1,56,South
C0055,2547.27,25.2,44,East
C0056,1192.19,11.0,45,South
C0057,539.92,5.0,44,East
C0058,477.46,4.8,41,West
C0059,2370.7,25.4,45,South
C0060,703.13,8.7,61,West
C0061,605.36,7.2,41,East
C0062,344.6,1.6,46,South
C0063,1593.42,10.3,42,West
C0064,2103.85,26.5,52,South
C0065,602.39,8.7,45,North
C0066,1752.69,14.6,31,South
C0067,556.89,5.7,43,West
C0068,385.94,6.9,34,East
C0069,299.98,5.2,39,East
C0070,253.48,1.0,51,East
C0071,532.81,4.6,48,North
C0072,375.2,4.1,66,North
C0073,659.8,3.8,49,South
C0074,1473.91,12.0,32,West
C0075,602.51,2.7,36,North
C0076,483.99,7.0,47,East
C0077,355.75,1.0,50,West
C0078,1367.88,11.2,33,North
C0079,832.23,13.6,50,North
C0080,448.1,8.2,45,West
C0081,1705.56,22.0,34,North
C0082,518.66,6.9,60,East
C0083,927.99,11.9,31,West
C0084,1929.41,24.2,42,South
C0085,1683.79,24.0,32,South
C0086,551.17,8.8,49,East
C0087,2579.88,22.8,43,East
C0088,605.76,7.0,44,West
C0089,571.52,3.1,39,East
C0090,620.05,7.9,46,West
C0091,1582.77,14.1,36,North
C0092,1951.11,27.2,48,South
C0093,728.03,10.8,35,North
C0094,1922.05,17.7,49,East
C0095,1397.71,13.2,28,North
C0096,295.19,3.4,64,West
C0097,1311.42,14.5,37,West
C0098,1515.83,14.4,29,West
C0099,375.02,5.7,62,West
C0100,2626.32,27.6,29,North
C0101,3058.55,23.0,51,East
C0102,1277.08,10.3,34,East
C0103,651.15,5.5,40,East
C0104,266.08,4.4,72,West
