age,tenure_months,monthly_usage_hours,purchase_amount,customer_service_calls,late_payments,region,contract_type,autopay,churn
30,63,24.2,81.67,4,1,South,One year,No,1
69,62,54.5,117.95,4,0,North,Two year,Yes,0
26,1,37.2,195.47,2,1,North,Month-to-month,Yes,0
20,12,51.8,161.81,6,2,West,Month-to-month,Yes,1
30,27,19.9,259.58,5,0,North,One year,Yes,1
61,37,32.9,322.0,7,1,South,Two year,No,1
52,53,16.3,82.54,0,2,West,Two year,No,1
38,31,25.4,107.94,3,2,East,Two year,Yes,1
56,45,27.8,34.19,6,0,North,Two year,Yes,1
55,1,20.4,398.19,1,1,South,Month-to-month,No,1
50,48,12.6,216.99,4,0,West,Month-to-month,Yes,1
47,66,9.4,235.38,1,1,South,Month-to-month,Yes,0
23,38,1.0,44.28,3,1,East,One year,Yes,1
33,33,15.1,184.88,5,0,East,Two year,Yes,0
48,22,42.0,238.47,1,1,East,Month-to-month,Yes,0
25,69,6.4,158.46,3,1,North,One year,Yes,0
45,3,10.1,297.95,2,1,West,Month-to-month,No,1
24,21,60.7,427.74,3,1,West,Month-to-month,Yes,1
63,10,21.8,85.56,3,0,North,Month-to-month,No,1
23,63,37.1,77.68,3,0,West,Month-to-month,No,1
23,35,42.3,92.84,0,0,West,Two year,Yes,0
54,67,42.6,353.65,1,1,East,Month-to-month,Yes,0
30,48,7.6,294.45,3,0,South,Two year,Yes,1
38,41,28.3,170.77,2,1,South,One year,No,1
36,38,6.1,188.84,4,0,West,Month-to-month,Yes,1
30,15,71.1,99.26,4,0,North,Month-to-month,No,1
62,41,6.5,278.45,4,0,West,One year,Yes,0
58,50,15.2,145.11,2,2,West,Month-to-month,Yes,1
31,70,15.4,157.69,2,1,East,Two year,Yes,0
57,40,8.1,248.92,3,1,South,Month-to-month,Yes,0
59,68,53.6,165.26,2,0,East,One year,No,0
49,69,70.8,160.33,6,0,North,One year,No,0
51,38,24.4,186.11,4,0,West,Month-to-month,Yes,0
72,32,10.9,268.51,6,1,South,Month-to-month,Yes,1
44,11,1.0,357.88,2,0,North,Two year,Yes,1
40,20,28.1,246.48,5,0,West,Month-to-month,No,1
49,64,26.9,269.35,4,5,East,Month-to-month,Yes,1
66,10,21.6,164.02,1,0,East,Month-to-month,Yes,1
59,29,35.5,110.68,0,0,North,Month-to-month,No,1
22,51,38.3,253.67,1,0,West,One year,Yes,0
44,18,37.2,202.98,2,1,East,One year,Yes,0
60,71,26.9,35.62,2,0,West,Month-to-month,No,0
30,47,14.4,150.55,0,1,West,Two year,No,0
75,3,42.7,176.3,3,0,North,Month-to-month,No,1
64,18,32.2,131.4,2,0,North,Month-to-month,Yes,1
67,54,46.2,340.58,2,1,West,One year,Yes,0
22,63,44.6,235.38,2,0,East,Two year,No,0
51,67,9.3,329.18,1,0,South,Month-to-month,Yes,0
48,62,9.1,212.66,4,1,South,Month-to-month,Yes,1
54,6,19.9,193.55,1,0,East,Month-to-month,Yes,1
67,53,15.1,86.66,4,2,West,One year,Yes,1
38,8,44.1,186.25,3,0,North,Month-to-month,No,1
48,6,37.6,186.37,2,0,East,Month-to-month,Yes,1
57,50,49.6,41.45,2,1,West,One year,Yes,1
61,35,38.3,128.35,0,3,South,Month-to-month,No,1
62,47,35.3,151.06,6,3,South,Month-to-month,No,1
37,62,51.2,228.42,5,3,West,Month-to-month,Yes,1
75,5,39.5,233.44,3,1,North,Month-to-month,No,1
18,38,33.1,123.96,3,2,South,Month-to-month,Yes,1
46,61,55.7,234.23,3,0,South,Two year,No,1
53,32,33.8,165.88,2,0,West,One year,Yes,0
21,38,27.1,10.0,2,2,North,One year,Yes,1
44,36,18.6,134.11,5,0,South,Two year,Yes,1
52,66,43.2,298.29,5,2,North,Month-to-month,No,1
53,4,51.8,10.0,0,0,West,Month-to-month,Yes,1
24,64,31.2,196.83,4,0,East,Two year,Yes,0
34,59,52.9,351.45,2,0,South,Month-to-month,No,0
32,59,1.0,105.14,3,1,South,One year,Yes,1
55,30,31.1,185.23,2,1,North,One year,No,1
37,38,31.4,48.08,2,0,West,Month-to-month,Yes,1
51,27,20.4,355.86,2,0,East,Month-to-month,Yes,1
60,19,70.1,176.25,6,0,South,Month-to-month,Yes,1
64,64,30.9,189.9,3,0,South,Month-to-month,Yes,1
28,37,25.5,327.2,2,1,East,Month-to-month,Yes,0
70,53,32.4,254.46,4,1,East,Month-to-month,Yes,1
27,8,1.0,93.06,4,0,South,One year,No,1
19,57,19.8,117.04,4,0,South,Two year,Yes,0
20,48,47.7,236.97,0,1,East,One year,Yes,0
29,72,21.9,119.47,0,1,East,Month-to-month,No,0
68,10,18.7,10.0,1,2,East,Month-to-month,Yes,1
30,39,53.0,179.41,4,0,North,Month-to-month,No,1
58,37,53.4,29.58,4,0,South,Month-to-month,No,1
42,39,40.3,354.71,4,0,East,Two year,Yes,0
20,4,24.7,203.56,6,1,West,Month-to-month,Yes,1
43,35,28.2,89.96,4,1,East,Month-to-month,No,1
19,22,19.1,111.64,4,0,South,Two year,Yes,1
45,45,16.1,10.0,3,1,East,Month-to-month,No,1
50,17,15.3,69.56,1,1,North,Month-to-month,Yes,1
48,32,22.1,291.71,6,0,North,Month-to-month,Yes,1
34,45,15.4,419.34,4,0,East,One year,Yes,1
62,5,7.0,261.27,3,2,West,One year,Yes,1
52,57,35.5,175.34,3,0,West,Month-to-month,No,0
32,52,35.8,139.64,6,1,East,Two year,Yes,1
43,5,59.2,84.57,2,2,North,Two year,No,1
24,5,21.3,401.28,3,0,West,Two year,No,1
71,62,36.7,165.18,4,2,South,Month-to-month,No,1
61,21,37.0,407.14,0,1,South,Month-to-month,No,0
34,62,27.9,331.32,2,1,West,Two year,Yes,0
57,36,43.9,10.0,5,1,East,Month-to-month,No,1
57,25,44.4,115.07,3,0,East,One year,No,0
53,20,37.2,114.75,7,1,South,One year,Yes,1
