customer_id,annual_spending,purchase_frequency,age,region,cluster
C0001,2018.86,22.6,33,North,3
C0002,1386.5,12.6,45,North,1
C0003,1150.21,12.1,53,East,0
C0004,389.32,8.8,58,West,2
C0005,2844.62,23.3,53,South,3
C0006,2355.21,22.4,39,West,3
C0007,1121.71,10.9,47,East,0
C0008,473.43,5.9,33,South,0
C0009,553.05,3.5,36,East,0
C0010,1225.41,15.3,42,South,1
C0011,1364.55,12.7,35,West,1
C0012,628.32,4.8,52,West,0
C0013,3056.18,22.1,36,West,3
C0014,1127.22,9.8,34,North,1
C0015,1542.83,10.7,49,North,1
C0016,1152.47,17.7,33,West,1
C0017,1217.6,11.0,32,West,1
C0018,1551.09,14.0,46,East,1
C0019,419.76,7.4,37,North,0
C0020,1898.21,24.5,44,West,3
C0021,1262.0,14.6,45,South,1
C0022,1580.69,10.4,50,South,1
C0023,3347.04,23.2,29,South,3
C0024,413.03,5.0,61,South,2
C0025,551.69,4.6,40,South,0
C0026,228.57,4.9,57,South,2
C0027,1722.46,14.4,45,East,1
C0028,1195.53,10.6,31,North,1
C0029,941.92,15.0,35,South,1
C0030,351.44,3.3,56,North,2
C0031,986.84,13.7,36,East,1
C0032,1452.99,11.4,43,West,1
C0033,712.44,6.6,51,West,0
C0034,2757.35,28.2,45,North,3
C0035,1407.49,12.9,32,East,1
C0036,978.16,15.8,30,North,1
C0037,623.84,6.9,52,South,0
C0038,499.04,4.3,48,South,0
C0039,1184.22,10.3,54,East,0
C0040,471.65,3.8,43,South,0
C0041,1531.89,8.2,47,East,1
C0042,2089.84,24.6,37,East,3
C0043,407.56,3.3,52,West,2
C0044,520.19,6.2,46,North,0
C0045,323.69,3.0,47,West,0
C0046,516.31,7.3,40,West,0
C0047,1401.38,13.1,36,East,1
C0048,1518.68,9.2,33,West,1
C0049,1527.3,17.0,56,North,1
C0050,2522.66,25.0,49,North,3
C0051,1536.89,13.7,45,North,1
C0052,1353.45,14.1,31,West,1
C0053,2351.85,22.8,32,South,3
C0054,210.81,2.1,56,South,2
C0055,2547.27,25.2,44,East,3
C0056,1192.19,11.0,45,South,1
C0057,539.92,5.0,44,East,0
C0058,477.46,4.8,41,West,0
C0059,2370.7,25.4,45,South,3
C0060,703.13,8.7,61,West,2
C0061,605.36,7.2,41,East,0
C0062,344.6,1.6,46,South,0
C0063,1593.42,10.3,42,West,1
C0064,2103.85,26.5,52,South,3
C0065,602.39,8.7,45,North,0
C0066,1752.69,14.6,31,South,1
C0067,556.89,5.7,43,West,0
C0068,385.94,6.9,34,East,0
C0069,299.98,5.2,39,East,0
C0070,253.48,1.0,51,East,2
C0071,532.81,4.6,48,North,0
C0072,375.2,4.1,66,North,2
C0073,659.8,3.8,49,South,0
C0074,1473.91,12.0,32,West,1
C0075,602.51,2.7,36,North,0
C0076,483.99,7.0,47,East,0
C0077,355.75,1.0,50,West,0
C0078,1367.88,11.2,33,North,1
C0079,832.23,13.6,50,North,0
C0080,448.1,8.2,45,West,0
C0081,1705.56,22.0,34,North,3
C0082,518.66,6.9,60,East,2
C0083,927.99,11.9,31,West,1
C0084,1929.41,24.2,42,South,3
C0085,1683.79,24.0,32,South,3
C0086,551.17,8.8,49,East,0
C0087,2579.88,22.8,43,East,3
C0088,605.76,7.0,44,West,0
C0089,571.52,3.1,39,East,0
C0090,620.05,7.9,46,West,0
C0091,1582.77,14.1,36,North,1
C0092,1951.11,27.2,48,South,3
C0093,728.03,10.8,35,North,1
C0094,1922.05,17.7,49,East,3
C0095,1397.71,13.2,28,North,1
C0096,295.19,3.4,64,West,2
C0097,1311.42,14.5,37,West,1
C0098,1515.83,14.4,29,West,1
C0099,375.02,5.7,62,West,2
C0100,2626.32,27.6,29,North,3
C0101,3058.55,23.0,51,East,3
C0102,1277.08,10.3,34,East,1
C0103,651.15,5.5,40,East,0
C0104,266.08,4.4,72,West,2
C0105,338.05,12.2,47,East,0
C0106,331.33,2.0,58,North,2
C0107,2586.63,21.7,36,West,3
C0108,667.27,2.6,49,South,0
C0109,2333.27,21.9,58,South,3
C0110,248.46,1.0,57,East,2
C0111,258.5,3.0,59,West,2
C0112,1302.8,12.7,32,East,1
C0113,613.7,5.8,41,North,0
C0114,696.52,5.7,54,East,2
C0115,3052.08,26.8,48,East,3
C0116,549.94,5.9,43,North,0
C0117,182.99,4.6,60,East,2
C0118,1435.74,12.7,43,West,1
C0119,1880.12,21.4,22,West,1
C0120,292.75,1.3,51,South,2
C0121,1325.3,12.1,27,East,1
C0122,1822.57,12.9,29,West,1
C0123,483.69,5.6,44,East,0
C0124,678.91,5.8,60,South,2
C0125,1152.7,13.9,46,North,1
C0126,3037.82,26.9,40,North,3
C0127,549.46,1.0,43,East,0
C0128,1495.53,15.0,37,West,1
C0129,718.21,5.2,39,East,0
C0130,274.72,1.0,63,West,2
C0131,2629.82,25.3,39,East,3
C0132,296.86,1.0,61,South,2
C0133,559.79,3.6,44,East,0
C0134,286.08,6.9,50,South,0
C0135,1324.57,10.6,34,North,1
C0136,1312.28,12.5,38,East,1
C0137,582.94,4.9,52,East,0
C0138,283.5,2.8,61,West,2
C0139,312.26,4.4,61,North,2
C0140,1355.53,12.3,29,South,1
C0141,928.78,9.3,52,North,0
C0142,1504.25,26.6,35,West,3
C0143,667.46,1.2,43,West,0
C0144,693.95,7.6,42,South,0
C0145,357.65,3.1,56,West,2
C0146,1171.65,12.8,40,East,1
C0147,229.65,3.9,55,South,2
C0148,2632.17,22.7,29,South,3
C0149,1153.84,14.4,41,East,1
C0150,1256.96,15.0,36,North,1
C0151,1262.66,11.9,46,North,1
C0152,578.86,4.8,33,West,0
C0153,659.39,4.4,46,North,0
C0154,3558.67,25.8,55,North,3
C0155,2257.84,26.4,42,West,3
C0156,1332.35,17.4,36,West,1
C0157,551.91,4.0,52,West,2
C0158,1123.86,15.2,25,North,1
C0159,1373.44,11.6,44,West,1
C0160,2493.9,22.8,39,South,3
C0161,465.81,7.8,37,North,0
C0162,1189.91,13.8,51,West,1
C0163,1247.91,12.5,40,South,1
C0164,783.47,10.4,35,East,1
C0165,1089.58,9.5,45,North,0
C0166,1308.45,13.3,32,North,1
C0167,2535.73,25.1,40,West,3
C0168,594.01,4.2,46,East,0
C0169,1507.06,15.7,49,West,1
C0170,1314.25,13.1,34,North,1
C0171,202.4,1.0,57,West,2
C0172,1225.64,16.1,49,West,1
C0173,1095.54,14.8,34,West,1
C0174,1403.59,14.8,48,North,1
C0175,1139.16,15.2,23,North,1
C0176,3083.3,23.9,42,East,3
C0177,189.98,2.1,69,North,2
C0178,1153.99,14.6,38,North,1
C0179,655.2,6.4,38,West,0
C0180,303.05,6.5,62,East,2
C0181,2447.6,29.0,51,West,3
C0182,630.86,6.7,51,West,0
C0183,2843.23,19.2,45,North,3
C0184,1213.82,11.9,36,West,1
C0185,215.98,1.0,68,North,2
C0186,2707.97,18.7,37,South,3
C0187,347.55,2.4,68,South,2
C0188,653.93,3.0,44,North,0
C0189,1149.18,9.9,26,East,1
C0190,2137.29,22.6,44,North,3
C0191,653.38,7.1,51,West,0
C0192,1190.01,14.3,37,West,1
C0193,1150.67,17.2,19,East,1
C0194,828.51,13.8,36,North,1
C0195,1853.36,21.7,35,East,3
C0196,348.19,5.7,71,East,2
C0197,892.47,10.0,27,South,1
C0198,1539.99,13.9,39,South,1
C0199,572.73,5.9,36,South,0
C0200,600.8,5.6,35,West,0
C0201,331.01,2.1,60,North,2
C0202,293.25,5.0,60,East,2
C0203,1051.17,13.7,41,South,1
C0204,1365.05,15.3,33,East,1
C0205,616.13,2.2,44,North,0
C0206,2376.4,27.2,41,West,3
C0207,610.19,2.1,42,South,0
C0208,2119.14,29.4,37,West,3
C0209,303.96,3.3,45,North,0
C0210,497.92,6.9,46,East,0
C0211,322.26,4.8,53,East,2
C0212,1382.35,15.7,30,West,1
C0213,369.17,2.9,71,North,2
C0214,550.33,1.5,52,East,2
C0215,506.09,5.2,33,North,0
C0216,710.6,4.9,58,South,2
C0217,2305.94,22.0,53,North,3
C0218,2467.0,23.9,32,North,3
