square_footage,bedrooms,home_age_years,location,price
1642,2,56,Suburb,467400
3131,5,30,Suburb,893300
1539,1,45,Rural,375900
3042,6,38,Suburb,827300
2123,4,67,Downtown,672000
1489,3,45,Rural,435300
1769,2,29,Suburb,507000
2310,4,67,Suburb,608100
2954,5,7,Downtown,951300
2517,4,68,Suburb,667200
3417,5,10,Suburb,964800
3237,5,20,Rural,833200
2922,4,57,Suburb,788000
2509,4,51,Rural,600700
1647,2,67,Suburb,459600
1984,3,52,Downtown,640200
1177,2,44,Suburb,360700
1879,2,24,Downtown,600500
3398,5,0,Rural,909400
2021,4,8,Suburb,637200
1162,1,20,Suburb,374600
2643,4,2,Suburb,778800
3498,6,35,Rural,915700
3236,6,54,Rural,749600
1603,2,67,Suburb,412000
2098,4,34,Downtown,685600
2310,4,61,Suburb,677300
1531,3,68,Downtown,540200
1589,3,60,Downtown,574700
1501,4,32,Suburb,480100
3586,5,22,Suburb,938500
2902,3,68,Rural,680600
3163,6,16,Downtown,987900
3096,4,28,Suburb,855900
3488,5,5,Suburb,963900
1139,3,55,Downtown,476000
3275,4,45,Downtown,941200
1033,1,5,Suburb,413700
2157,2,15,Downtown,730400
2485,3,38,Suburb,643800
1834,3,37,Suburb,495300
1252,2,56,Rural,353700
1379,2,18,Suburb,497100
3118,4,64,Downtown,854700
1726,1,31,Rural,389700
1703,3,57,Rural,439400
3390,5,16,Suburb,959200
1245,2,2,Downtown,585500
3367,6,3,Suburb,977900
3383,5,26,Downtown,991400
2496,4,66,Downtown,728000
1305,2,3,Downtown,550100
1278,2,25,Suburb,429000
1633,2,7,Suburb,505600
2438,4,65,Suburb,713800
1272,2,47,Suburb,454400
2103,4,53,Suburb,636400
1167,2,49,Suburb,360000
2336,4,45,Downtown,766900
908,1,54,Downtown,403300
2800,4,0,Suburb,827500
1002,2,60,Suburb,368900
1385,1,51,Suburb,424700
1330,1,51,Suburb,416100
3136,4,27,Suburb,867700
996,1,56,Suburb,331000
2030,3,26,Suburb,561300
2476,4,3,Downtown,828000
2269,3,63,Downtown,675900
2722,4,16,Suburb,746700
3059,5,7,Downtown,1002100
1932,4,43,Suburb,629300
3128,5,16,Rural,851600
1724,4,60,Downtown,607100
3558,6,31,Downtown,1083800
2237,3,0,Downtown,762900
2874,4,66,Downtown,833900
3257,4,36,Suburb,836300
3030,4,18,Suburb,851000
3191,5,47,Suburb,857000
2325,4,37,Suburb,638500
969,3,2,Suburb,418800
2206,2,53,Rural,524900
1349,2,28,Downtown,574300
3295,4,48,Downtown,960700
1501,3,62,Downtown,534500
1477,2,42,Suburb,462800
1536,1,47,Suburb,445300
2617,5,17,Downtown,850000
2421,3,16,Suburb,672200
3460,5,29,Downtown,1009100
1995,2,59,Suburb,521800
1626,2,36,Suburb,461800
985,2,24,Suburb,391200
869,1,54,Downtown,388800
1877,3,59,Suburb,488600
3396,5,63,Suburb,874200
2290,4,20,Downtown,792300
3308,5,49,Downtown,984400
1129,1,41,Rural,329900
1106,2,31,Rural,330000
3142,5,27,Suburb,848400
1143,2,8,Downtown,482100
992,2,19,Rural,329600
1961,3,38,Suburb,588400
3394,5,62,Suburb,911700
2746,5,60,Suburb,776500
1122,3,13,Downtown,514300
3152,5,47,Downtown,895100
3170,5,5,Rural,830300
3052,5,47,Suburb,832600
3333,5,23,Downtown,989300
1509,3,31,Downtown,559600
3544,5,50,Suburb,930600
1732,3,29,Downtown,609700
3056,4,56,Rural,717200
2443,3,37,Suburb,686700
2994,3,69,Suburb,741100
2577,3,44,Suburb,703600
2617,4,20,Suburb,760600
2545,4,54,Suburb,666600
2993,6,28,Suburb,844100
2883,5,37,Downtown,922100
1220,1,9,Suburb,396600
3122,5,8,Downtown,915000
2324,3,40,Suburb,602000
1738,2,13,Downtown,626800
2264,4,69,Downtown,700700
